id,PitchNo,Date,Time,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,TopOrBottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,TrackmanGameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,GameID
25740,1,2021-04-16,17:59:18,1,1,1000024621,Right,PEN_NIT,8900785,Right,NEB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NULL,89.7039,-2.49014,-2.60296,2215.47,215.793,01:15:00,6.26451,1.82793,6.19676,-15.9387,18.3528,12.4571,2.6337,0.46145,82.2343,-5.53509,-0.356547,0.421468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.14126,10.5018,-1.63805,50,6.06868,5.41015,-130.193,-6.09907,-12.2935,26.576,-14.0956,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,fdc4b160-9efe-11eb-8579-17f01a355d6c,89.4314,NULL,NULL,7.4697,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,21:59:18,"2021-04-16 17:59:18","2021-04-16 21:59:18",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,021af660-a230-474f-8229-0ac67c4fab7b,54.3011,-131.068,13.288,6.26186,-5.63496,-7.04779,-1.82285,5.81492,-6.14675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25741,2,2021-04-16,17:59:29,1,2,1000024621,Right,PEN_NIT,8900785,Right,NEB,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NULL,80.5758,-2.33237,-3.63401,2004.14,247.387,02:15:00,6.10191,2.01826,5.8546,-34.9945,7.97591,16.0448,1.0131,-0.02563,74.5731,-8.76163,-0.757392,0.471798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.23938,5.05524,-1.73266,50,5.89138,6.83136,-116.871,-5.86228,-12.8607,20.707,-25.1374,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,044cc040-9eff-11eb-8579-17f01a355d6c,79.8911,NULL,NULL,6.00269,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,21:59:29,"2021-04-16 17:59:29","2021-04-16 21:59:29",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,9ba2db98-ddba-474a-837e-0d04ebccf2f1,54.646,-117.691,10.3535,6.10388,-4.86648,-12.5687,-2.01337,7.34082,-6.43036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25742,3,2021-04-16,17:59:39,1,3,1000024621,Right,PEN_NIT,8900785,Right,NEB,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NULL,89.4637,-2.07244,-3.73789,2243.78,242.008,02:00:00,6.16178,2.0623,6.06368,-24.0052,11.1266,18.6056,2.23844,0.14855,81.094,-6.58291,-0.392992,0.426601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.7175,6.73355,-1.78181,50,5.98796,7.68605,-129.581,-5.46252,-18.036,29.6691,-20.8425,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,0ab4eb10-9eff-11eb-8579-17f01a355d6c,88.3553,NULL,NULL,8.3697,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,21:59:39,"2021-04-16 17:59:39","2021-04-16 21:59:39",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,465a3b99-6314-4c68-be9e-a27b7bc315ea,54.4337,-130.592,14.8346,6.16203,-4.75215,-10.4212,-2.05425,8.30076,-9.01798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25743,4,2021-04-16,17:59:54,1,4,1000024621,Right,PEN_NIT,8900785,Right,NEB,Undefined,1,Top,0,1,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NULL,90.0835,-0.725047,-1.65857,2224.09,217.202,01:15:00,6.40213,1.92373,5.60036,-13.5394,21.8986,15.6154,4.59666,1.67622,80.7124,-3.37117,1.12764,0.428455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.43591,11.6867,-1.79202,50,6.33176,3.07351,-130.52,-2.00301,-14.2746,32.3568,-12.3988,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,13219870-9eff-11eb-8579-17f01a355d6c,87.9729,NULL,NULL,9.37112,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,21:59:54,"2021-04-16 17:59:54","2021-04-16 21:59:54",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,2f07b328-2236-4fb9-84a9-2ab45e3b137e,54.8947,-131.728,16.1784,6.39789,-1.54018,-6.1994,-1.9167,3.60636,-7.13728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25744,5,2021-04-16,18:00:28,2,1,1000024621,Right,PEN_NIT,1000025733,Right,NEB,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NULL,81.2616,-0.226505,-3.09093,2077.67,92.0256,09:00:00,6.15006,2.33931,5.84844,-41.0819,1.56933,-5.43945,2.51579,-0.98893,74.4172,-7.77938,-4.06481,0.470043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.86843,1.29386,-2.08464,50,6.10772,6.57482,-117.858,-1.80599,2.61306,23.591,-30.3645,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,27846810-9eff-11eb-8579-17f01a355d6c,80.1894,NULL,NULL,6.84438,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:00:28,"2021-04-16 18:00:28","2021-04-16 22:00:28",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,ccfe80e4-f0dc-4464-9c71-08d5442a5bce,54.6492,-118.785,11.7955,6.15524,-0.61289,-15.1823,-2.34097,6.47215,1.30653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25745,6,2021-04-16,18:00:46,2,2,1000024621,Right,PEN_NIT,1000025733,Right,NEB,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NULL,81.6414,-0.326117,-3.49994,2152.16,70.2253,08:15:00,6.0932,2.16358,5.70566,-42.7089,-0.34382,-4.6211,2.2297,-1.48653,75.079,-8.13076,-4.32475,0.468463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.35933,0.32201,-1.86709,50,6.03932,7.42249,-118.388,-2.11583,1.92568,22.9894,-31.7179,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,32a056f0-9eff-11eb-8579-17f01a355d6c,80.4598,NULL,NULL,6.56241,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:00:46,"2021-04-16 18:00:46","2021-04-16 22:00:46",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,f940f710-ca13-4eef-a7e3-5d9921753755,54.7928,-119.315,11.4947,6.09886,-0.83677,-15.8589,-2.16485,7.34484,0.96284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25746,7,2021-04-16,18:01:04,2,3,1000024621,Right,PEN_NIT,1000025733,Right,NEB,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,NULL,90.9102,-2.52425,-3.34894,2133.55,193.226,12:30:00,6.24296,2.15526,6.12528,-15.5722,18.4154,4.045,2.60637,-0.60692,82.2648,-5.52,-2.62175,0.419596,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.15358,10.6795,-1.90106,50,6.04153,7.53833,-131.669,-6.23947,-5.4697,31.0901,-13.6512,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,3cd197b0-9eff-11eb-8579-17f01a355d6c,89.8303,NULL,NULL,8.64542,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:01:04,"2021-04-16 18:01:04","2021-04-16 22:01:04",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,52a19bdf-8893-4083-8392-37537691e211,54.372,-132.697,15.545,6.24044,-5.78796,-6.8256,-2.15339,7.71924,-2.73485,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,Medium,Medium,NULL,NULL,NULL,NULL,NULL,143
25747,8,2021-04-16,18:01:41,3,1,1000024621,Right,PEN_NIT,1000058905,Right,NEB,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,1,0,NULL,82.483,-1.41711,-2.4999,2117.63,155.498,11:15:00,6.18602,2.23497,5.65787,-34.7969,7.03162,-2.55799,1.96322,-0.31096,75.2283,-7.82684,-2.95685,0.465487,92.4035,-6.02571,-25.3548,NULL,NULL,NULL,NULL,26.1455,NULL,-23.716,0.177152,0.54547,4.39583,-2.02162,50,6.04397,5.32137,-119.572,-4.10605,0.78227,25.087,-25.87,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,53284810-9eff-11eb-8579-17f01a355d6c,80.9742,2.16308,NULL,7.25472,NULL,NULL,NULL,2.36154,2.52028,-0.29163,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:01:41,"2021-04-16 18:01:41","2021-04-16 22:01:41",GroundBall,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,c2e235d4-cb54-44e6-b4ea-ad483d053927,54.8398,-120.583,12.5435,6.18845,-3.06335,-12.935,-2.23547,5.28984,0.39114,180,2.36154,121.794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.52028,-14.2267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.29163,-57.7142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,Medium,Medium,NULL,NULL,NULL,143
25748,9,2021-04-16,18:02:32,4,1,1000024621,Right,PEN_NIT,1000059409,Left,NEB,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NULL,90.4347,-3.02872,-4.1501,2281.26,217.734,01:15:00,6.28095,2.24806,6.1015,-14.7198,19.7902,14.336,2.24333,-0.40204,81.6045,-5.88172,-1.57596,0.422809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.65142,11.4994,-1.93566,50,6.03948,8.87475,-130.764,-7.30971,-14.7928,30.788,-12.5116,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,71b10dd0-9eff-11eb-8579-17f01a355d6c,89.1477,NULL,NULL,8.83021,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:02:32,"2021-04-16 18:02:32","2021-04-16 22:02:32",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,0be9e53c-ca4b-42ce-82a2-3bac72b4cf02,54.394,-131.795,15.394,6.27713,-6.89094,-6.25581,-2.24099,9.36988,-7.39638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,Medium,Medium,NULL,NULL,NULL,NULL,NULL,143
25749,10,2021-04-16,18:02:47,4,2,1000024621,Right,PEN_NIT,1000059409,Left,NEB,Undefined,1,Top,2,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NULL,90.249,-2.22942,-3.5876,2190.28,229.734,01:45:00,6.21272,2.13346,5.93152,-18.3565,16.0973,17.6518,2.6095,0.27161,82.2421,-5.70632,-0.423284,0.422464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.0132,9.2156,-1.85635,50,6.02388,7.43429,-130.772,-5.65514,-17.2994,28.1751,-16.2526,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,7a7c7d00-9eff-11eb-8579-17f01a355d6c,89.2204,NULL,NULL,8.00683,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:02:47,"2021-04-16 18:02:47","2021-04-16 22:02:47",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,32990929-a7f0-4847-a9fa-73c86df0bcd1,54.5657,-131.752,14.0875,6.21075,-5.08983,-8.12632,-2.1254,8.036,-8.64968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25750,11,2021-04-16,18:03:03,4,3,1000024621,Right,PEN_NIT,1000059409,Left,NEB,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NULL,90.7935,-3.28034,-1.04738,2171.49,216.659,01:15:00,6.24991,2.04761,6.04001,-16.7782,17.3376,12.005,1.81069,2.07817,82.3081,-6.48021,1.11419,0.420387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.47138,10.2817,-1.97219,50,5.98484,1.88895,-131.578,-8.01909,-11.2226,30.7304,-14.3437,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,843b25d0-9eff-11eb-8579-17f01a355d6c,89.6613,NULL,NULL,8.48539,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:03:03,"2021-04-16 18:03:03","2021-04-16 22:03:03",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,ba840699-7121-46a7-9e80-39ebce59dcc3,54.4556,-132.615,15.3652,6.24717,-7.53529,-7.17185,-2.04229,2.26748,-5.61128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25751,12,2021-04-16,18:03:18,4,4,1000024621,Right,PEN_NIT,1000059409,Left,NEB,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NULL,81.5516,-2.1774,-2.66686,1992.19,267.401,03:00:00,6.10099,2.36287,5.9475,-39.8842,2.26571,19.5618,0.75463,1.51773,74.8996,-9.50413,0.854957,0.467272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.8505,2.20319,-2.1616,50,5.90512,4.76936,-118.318,-5.78214,-15.3046,23.6278,-29.0665,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,8cd328f0-9eff-11eb-8579-17f01a355d6c,80.6649,NULL,NULL,6.65199,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:03:18,"2021-04-16 18:03:18","2021-04-16 22:03:18",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,0ae8c843-7392-4528-994f-72693a14d70b,54.5523,-119.224,11.8139,6.10538,-4.66808,-14.5332,-2.35564,5.35596,-7.65229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25752,13,2021-04-16,18:03:33,4,5,1000024621,Right,PEN_NIT,1000059409,Left,NEB,Undefined,1,Top,2,2,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NULL,82.3727,-0.841078,-2.12803,1873.8,258.505,02:30:00,6.15698,2.24894,5.89234,-36.547,4.58843,16.2511,2.32989,1.6265,75.7054,-7.58293,0.791797,0.461615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.89138,2.99036,-2.08674,50,6.06828,3.80965,-119.641,-2.94502,-12.8937,22.9779,-27.8376,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,962135a0-9eff-11eb-8579-17f01a355d6c,81.6535,NULL,NULL,6.66726,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:03:33,"2021-04-16 18:03:33","2021-04-16 22:03:33",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,5189fd02-74d8-4245-979b-b1f03d1b076e,54.6063,-120.522,11.4889,6.16077,-1.87717,-13.9188,-2.24237,4.30426,-6.44685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25766,27,2021-04-16,18:13:46,1,1,1000024621,Right,PEN_NIT,1000093463,Right,NEB,Undefined,2,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NULL,89.9575,-2.56113,-3.88092,2217.16,221.362,01:30:00,6.31825,1.85923,5.92443,-17.9909,16.3578,13.4986,2.43549,-0.6225,82.895,-5.94556,-1.4635,0.421819,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.8863,9.34878,-1.55603,50,6.10254,8.27752,-130.416,-6.39726,-13.7094,25.0257,-15.9223,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,030c6620-9f01-11eb-8579-17f01a355d6c,89.3568,NULL,NULL,7.06249,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:13:46,"2021-04-16 18:13:46","2021-04-16 22:13:46",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,c7cd85b3-a1ba-4954-a457-49f18098fc31,54.5742,-131.291,12.5128,6.31644,-5.84067,-7.96114,-1.85376,8.75675,-6.8547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
25767,28,2021-04-16,18:13:56,1,2,1000024621,Right,PEN_NIT,1000093463,Right,NEB,Undefined,2,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NULL,82.5069,-0.580872,-3.49796,2132.13,121.173,10:00:00,6.08804,2.02123,5.5435,-36.8253,4.19721,-5.18485,2.47539,-1.68391,77.0548,-7.27613,-4.41993,0.46098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.83276,2.58339,-1.71434,50,6.01291,7.52893,-119.822,-2.48123,2.70971,19.471,-28.3545,PEN_NIT,NEB,LubranoPark,D1,BIG10,20210416-LubranoPark-1,0916e090-9f01-11eb-8579-17f01a355d6c,81.7658,NULL,NULL,5.45205,NULL,NULL,NULL,NULL,NULL,NULL,06be5e9d-1542-48b5-b68f-f558b4146f7f,2021-04-16,22:13:56,"2021-04-16 18:13:56","2021-04-16 22:13:56",NULL,v3,5326,4865,"20210416 6:00 PM_Penn State_Nebraska",1000013427,Right,PEN_NIT,9ab789f2-faa0-4d34-bb82-c04fb513be75,54.9568,-120.625,9.73551,6.09111,-1.31219,-14.1773,-2.02245,7.41721,1.35486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,NULL,NULL,143
